Id,Label,timeset,username,category,post_activity,fan_count,talking_about_count,users_can_post,link,,,,
1.6006E+15,RepredeTeatroTECCVA,,,Education,0,240,0,yes,https://www.facebook.com/Repre-de-Teatro-TEC-CVA-1600598693492631/,,,,
3.79804E+14,ClústerEnergéticodeNuevoLeón,,clusterenergeticonl,Organization,0.01,242,3,yes,https://www.facebook.com/clusterenergeticonl/,,,,
1.32702E+14,"TecnológicodeMonterrey,CampusQuerétaro",,,College&University,0,242,0,no,https://www.facebook.com/pages/Tecnol%C3%B3gico-de-Monterrey-Campus-Quer%C3%A9taro/132702043423272,,,,
3.05388E+14,"LicenciadoenDiseñoIndustrial,CampusLaguna",,,Education,0,243,2,yes,https://www.facebook.com/Licenciado-en-Diseño-Industrial-Campus-Laguna-305387652885783/,,,,
4.67829E+14,CheertecCampusLeón,,CheertecCampusLeon,SchoolSportsTeam,0,244,0,yes,https://www.facebook.com/CheertecCampusLeon/,,,,
6.19173E+14,GEMYCCuernavaca,,SALEMCuernavaca,Organization,0,244,1,yes,https://www.facebook.com/SALEMCuernavaca/,,,,
2.27354E+14,XignuxAnspac,,,CommunityOrganization,0,247,0,yes,https://www.facebook.com/Xignux-Anspac-227354247432891/,,,,
1.1889E+14,Kudos,,kudoscsf,NonprofitOrganization,0,249,0,yes,https://www.facebook.com/kudoscsf/,,,,
1.38067E+15,Paraleerenbicicleta,,paraleerenbicicleta,Community,0,252,1,yes,https://www.facebook.com/paraleerenbicicleta/,,,,
1.04072E+14,InfoTec,,Infotec.btv,TVShow,0,252,0,yes,https://www.facebook.com/Infotec.btv/,,,,
1.1517E+14,ConcentraciónProfesionalenelTecdeMty,,ConcentracionesITESM,Community,0,254,0,yes,https://www.facebook.com/ConcentracionesITESM/,,,,
1.29601E+14,AdministraciónFinancieraTECCVA,,lafcuernavaca,College&University,0,260,0,yes,https://www.facebook.com/lafcuernavaca/,,,,
1.60312E+15,GrupoÁguilasMéxicosedeMorelia,,aguilas.mrl,Organization,0,261,0,yes,https://www.facebook.com/aguilas.mrl/,,,,
2.96736E+14,ArquitecturaTECCVA,,arqcuernavaca,School,0,261,1,no,https://www.facebook.com/arqcuernavaca/,,,,
1.55856E+15,BinnBajioInnova,,bajioinnova,Company,0.02,262,7,yes,https://www.facebook.com/bajioinnova/,,,,
1.1642E+14,GlobalSocialBenefitInstitute-GSBI,,GSBIMillerCenter,NonprofitOrganization,0,262,1,yes,https://www.facebook.com/GSBIMillerCenter/,,,,
2.25114E+14,TecnologíaalAlcancedeTodos(TAT),,,Education,0,262,0,yes,https://www.facebook.com/Tecnología-al-Alcance-de-Todos-TAT-225114340832853/,,,,
7.48999E+14,ADEKCuchillasIndustriales,,CuchillasIndustriales,Commercial&IndustrialEquipmentSupplier,0,264,4,no,https://www.facebook.com/CuchillasIndustriales/,,,,
3.48397E+14,CashéMagazine,,cashe.magazine,Media/NewsCompany,0,264,0,yes,https://www.facebook.com/cashe.magazine/,,,,
1.09511E+14,WorldCommissiononProtectedAreas,,,LocalBusiness,0,264,0,no,https://www.facebook.com/pages/World-Commission-on-Protected-Areas/109511025742201,,,,
1.03509E+14,AdministraciónyEstrategiadeNegociosTECCVA,,laecuernavaca,College&University,0,265,0,yes,https://www.facebook.com/laecuernavaca/,,,,
1.11205E+14,LiceodeMonterrey,,,School,0,273,0,no,https://www.facebook.com/pages/Liceo-de-Monterrey/111205022236851,,,,
9.75626E+14,PlanillaCimarrón.,,,CommunityOrganization,0.01,275,0,yes,https://www.facebook.com/Planilla-Cimarrón-975625902474015/,,,,
5.10577E+14,"PorTi""""llevamosEsperanzaAlMasNecesitado""""",,PorTillevamosEsperanzaAlMasNecesitado,CommunityOrganization,0,278,0,yes,https://www.facebook.com/PorTillevamosEsperanzaAlMasNecesitado/,,,,
5.63312E+14,DAETecCEM,,DaeTecCem,Education,0.02,286,2,yes,https://www.facebook.com/DaeTecCem/,,,,
2.46407E+14,AlfonsoPompaPadilla,,AlfonsoPompaTec,PublicFigure,0,288,1,no,https://www.facebook.com/AlfonsoPompaTec/,,,,
1.07068E+14,Dr.ManuelZertuche,,,Teacher,0,289,0,yes,https://www.facebook.com/Dr-Manuel-Zertuche-107067616058641/,,,,
4.21784E+14,BOWLS2013,,,Community,0,289,0,yes,https://www.facebook.com/BOWLS-2013-421783694524778/,,,,
4.05896E+14,ExatecColombia,,ExatecColombia,NonprofitOrganization,0,290,2,yes,https://www.facebook.com/ExatecColombia/,,,,
1.76179E+14,MarioMolinaEnriquez,,,Community,0,291,1,yes,https://www.facebook.com/Mario-Molina-Enriquez-176178925770896/,,,,
1.70597E+14,MaestríaenSistemasAmbientales.TecnológicodeMonterrey,,,School,0,292,1,yes,https://www.facebook.com/Maestría-en-Sistemas-Ambientales-Tecnológico-de-Monterrey-170597073065333/,,,,
2.09997E+14,AOTSMonterrey,,aotsmonterrey,Education,0.01,294,2,yes,https://www.facebook.com/aotsmonterrey/,,,,
5.60598E+14,CanacopeMonterrey,,,ConsultingAgency,0,298,0,yes,https://www.facebook.com/Canacope-Monterrey-560598200670047/,,,,
2.20931E+14,ModalidaddeInvestigación,,MII.mty,School,0,301,0,yes,https://www.facebook.com/MII.mty/,,,,
1.75058E+15,IZABusinessCentersPabellónM,,IZABCPabellonM,Workplace&Office,0,302,1,yes,https://www.facebook.com/IZABCPabellonM/,,,,
1.19222E+14,"ProgramaCampusSostenibledelTecnológicodeMonterrey,CampusMonterrey",,campussostenible,Community,0,303,0,yes,https://www.facebook.com/campussostenible/,,,,
4.13536E+14,DebateTeam,,,Education,0.01,304,2,yes,https://www.facebook.com/Debate-Team-413536228811881/,,,,
4.46806E+14,AlquimiaUDEM,,,Community,0,305,0,yes,https://www.facebook.com/Alquimia-UDEM-446805868717034/,,,,
5.20097E+14,CiudadanoSupera,,,Community,0,306,0,yes,https://www.facebook.com/Ciudadano-Supera-520097294745089/,,,,
1.69555E+14,TacosElMaistro,,TacosElMaistro,LocalBusiness,0,307,1,yes,https://www.facebook.com/TacosElMaistro/,,,,
1.00723E+14,ExatecChicago,,ExatecChicago,NonprofitOrganization,0,313,3,yes,https://www.facebook.com/ExatecChicago/,,,,
1.23734E+14,ProgramaEmprendedoresUCC,,ProgramaEmprendedoresUCC,CommunityCollege,0.25,313,13,yes,https://www.facebook.com/ProgramaEmprendedoresUCC/,,,,
6.47258E+14,BibliotecaTecnológicodeMonterreyCampusSaltillo,,BiblioTecdeMtySaltillo,College&University,0.02,315,6,yes,https://www.facebook.com/BiblioTecdeMtySaltillo/,,,,
1.10718E+14,ITESMCampusCentraldeVeracruz,,,LocalBusiness,0,316,0,no,https://www.facebook.com/pages/ITESM-Campus-Central-de-Veracruz/110718048955563,,,,
1.29E+14,TecdeMonterreyCampusChihuahua,,,CampusBuilding,0,321,0,no,https://www.facebook.com/pages/Tec-de-Monterrey-Campus-Chihuahua/128999837130141,,,,
3.43383E+14,Ing.IndustrialydeSistemasTECCVA,,iiscuernavaca,College&University,0,324,0,yes,https://www.facebook.com/iiscuernavaca/,,,,
3.90146E+14,ColegioOxford,,,PrivateSchool,0,328,0,no,https://www.facebook.com/pages/Colegio-Oxford/390145567698864,,,,
2.92896E+11,Creapet,,Creapet,EventPlanner,0,331,0,yes,https://www.facebook.com/Creapet/,,,,
7.03953E+14,TecMun,,,Organization,0,332,1,yes,https://www.facebook.com/TecMun-703953479688672/,,,,
1.54801E+15,CEDDIECCM,,ceddieccm,Education,0.01,332,0,yes,https://www.facebook.com/ceddieccm/,,,,
1.46993E+15,COECampusMorelia,,coemorelia,College&University,0,335,3,yes,https://www.facebook.com/coemorelia/,,,,
1.35867E+15,LeerEsResistir-BenitoTaibo,,ResistirEsLeer,Writer,0,335,2,yes,https://www.facebook.com/ResistirEsLeer/,,,,
3.30648E+14,OliviaHernándezPozas,,oliviahdzp,Author,0.01,339,2,no,https://www.facebook.com/oliviahdzp/,,,,
4.29814E+14,GENERASELIDER,,GENERA.SELIDER,Community,0,340,1,yes,https://www.facebook.com/GENERA.SELIDER/,,,,
1.5084E+14,CopaCumbresLeague,,CopaCumbresLeague,SportsTeam,0,343,0,yes,https://www.facebook.com/CopaCumbresLeague/,,,,
3.26036E+14,LaPalapadelGeneral,,palapadelgeneral,Performance&EventVenue,0,344,0,yes,https://www.facebook.com/palapadelgeneral/,,,,
6.44979E+14,AvanceporlosDerechosdeMéxicoA.C.,,,NonprofitOrganization,0,345,1,yes,https://www.facebook.com/Avance-por-los-Derechos-de-México-AC-644978985542497/,,,,
2.21723E+14,Los100MejoresUniversitariosdelDF,,100mejoresuniversitariosdeldf,Education,0,346,1,yes,https://www.facebook.com/100mejoresuniversitariosdeldf/,,,,
1.19633E+14,SAIDSCVA,,saidsitesm,Community,0.01,349,5,yes,https://www.facebook.com/saidsitesm/,,,,
7.00787E+14,FútbolparaTodos,,futboltodos10,CommunityOrganization,0,352,1,yes,https://www.facebook.com/futboltodos10/,,,,
5.75768E+14,EducaciónContinuayPosgrados-TecdeMonterreyCampusZac,,itesmccizac,PrivateSchool,0,353,0,yes,https://www.facebook.com/itesmccizac/,,,,
1.8242E+15,ColoniaVallePrimavera,,,Community,0.01,354,1,yes,https://www.facebook.com/Colonia-Valle-Primavera-1824196731137810/,,,,
5.20322E+14,AsociaciónDeportivadeCiegosyDébilesVisualesdeNuevoLeón,,,NonprofitOrganization,0,355,2,yes,https://www.facebook.com/Asociación-Deportiva-de-Ciegos-y-Débiles-Visuales-de-Nuevo-León-520321784654611/,,,,
1.39183E+14,MermaidStreet,,mermaidstreet,Women'sClothingStore,0.02,362,0,yes,https://www.facebook.com/mermaidstreet/,,,,
1.04884E+14,QuadraProducciones,,quadraprodu,Company,0.02,362,7,no,https://www.facebook.com/quadraprodu/,,,,
8.355E+14,PremioAlmaMáter,,PremioAlmaMater,School,0.01,365,12,yes,https://www.facebook.com/PremioAlmaMater/,,,,
5.50682E+14,"Barrancas:Protegeloqueestuyo,loqueesdetodos.",,barrancascva,Community,0,365,0,yes,https://www.facebook.com/barrancascva/,,,,
1.12217E+14,JuanGelman,,,Author,0,366,0,no,https://www.facebook.com/pages/Juan-Gelman/112217058793431,,,,
1.25812E+14,TecdeMonterreyCampusPuebla,,,CriminalLawyer,0,366,0,no,https://www.facebook.com/pages/Tec-de-Monterrey-Campus-Puebla/125812010789588,,,,
4.59867E+14,Cucaramácara,,cucaramacarafilm,Movie,0,370,0,yes,https://www.facebook.com/cucaramacarafilm/,,,,
